date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:41:04	3069/3069	---M--	200	added ('OK')	application/javascript	date:Mon,%2013%20Aug%202018%2000:19:56%20GMT	https://java.com/ga/js/s_code_remote.js	C:/My%20Web%20Sites/help/java.com/ga/js/s_code_remote.js;filename_=UTF-8''s_code_remote.js	(from https://java.com/en/download/help/)
14:41:05	33382/33382	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Nov%202013%2022:09:27%20GMT	https://java.com/ga/images/jv0h.jpg	C:/My%20Web%20Sites/help/java.com/ga/images/jv0h.jpg;filename_=UTF-8''jv0h.jpg	(from https://java.com/ga/css/screen.css)
14:41:05	54/54	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Nov%202013%2022:31:06%20GMT	https://java.com/ga/images/jv0h_link_on.gif	C:/My%20Web%20Sites/help/java.com/ga/images/jv0h_link_on.gif;filename_=UTF-8''jv0h_link_on.gif	(from https://java.com/ga/css/screen.css)
14:41:05	43/43	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Nov%202013%2022:14:17%20GMT	https://java.com/ga/im/a.gif	C:/My%20Web%20Sites/help/java.com/ga/im/a.gif;filename_=UTF-8''a.gif	(from https://java.com/ga/css/screen.css)
14:41:05	919/919	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Nov%202013%2022:14:51%20GMT	https://java.com/ga/images/jv0_oracle.gif	C:/My%20Web%20Sites/help/java.com/ga/images/jv0_oracle.gif;filename_=UTF-8''jv0_oracle.gif	(from https://java.com/ga/css/screen.css)
14:41:07	5672/5672	---M--	200	added ('OK')	image/gif	date:Wed,%2013%20Nov%202013%2022:13:04%20GMT	https://java.com/ga/images/jv0ht.gif	C:/My%20Web%20Sites/help/java.com/ga/images/jv0ht.gif;filename_=UTF-8''jv0ht.gif	(from https://java.com/ga/css/screen.css)
14:41:07	18684/18684	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Nov%202013%2022:27:52%20GMT	https://java.com/ga/images/photos/java_home_photo2.jpg	C:/My%20Web%20Sites/help/java.com/ga/images/photos/java_home_photo2.jpg;filename_=UTF-8''java_home_photo2.jpg	(from https://java.com/ga/css/screen.css)
14:41:07	17777/17777	---M--	200	added ('OK')	image/jpeg	date:Tue,%2012%20Nov%202013%2020:27:02%20GMT	https://java.com/ga/images/photos/java_home_photo1.jpg	C:/My%20Web%20Sites/help/java.com/ga/images/photos/java_home_photo1.jpg;filename_=UTF-8''java_home_photo1.jpg	(from https://java.com/ga/css/screen.css)
14:41:07	22030/22030	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Nov%202013%2022:26:37%20GMT	https://java.com/ga/images/photos/java_home_photo3.jpg	C:/My%20Web%20Sites/help/java.com/ga/images/photos/java_home_photo3.jpg;filename_=UTF-8''java_home_photo3.jpg	(from https://java.com/ga/css/screen.css)
14:41:08	31033/31033	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Nov%202013%2022:26:24%20GMT	https://java.com/ga/images/photos/java_home_photo4.jpg	C:/My%20Web%20Sites/help/java.com/ga/images/photos/java_home_photo4.jpg;filename_=UTF-8''java_home_photo4.jpg	(from https://java.com/ga/css/screen.css)
